blue,green,red,ndwi,brightness,label,source_file
0.26117626,0.36433542,0.1621782,0.38395363,0.26256332,0,Shasta_2012_09.tif
0.2782219,0.33352607,0.18609025,0.28373924,0.26594606,0,Shasta_2012_09.tif
0.26196298,0.28341448,0.12033214,0.4039215,0.2219032,0,Shasta_2012_09.tif
0.15890239,0.26875222,0.13745098,0.32323948,0.18836854,0,Shasta_2012_09.tif
0.21030156,0.33501086,0.15755883,0.36025697,0.23429042,0,Shasta_2012_09.tif
0.19863185,0.32071978,0.16516721,0.32014078,0.22817294,0,Shasta_2012_09.tif
0.21607086,0.29120964,0.13228816,0.3752584,0.21318956,0,Shasta_2012_09.tif
0.14657708,0.22587897,0.1170714,0.3172682,0.16317582,0,Shasta_2012_09.tif
0.16624513,0.27339217,0.1366358,0.33352855,0.19209103,0,Shasta_2012_09.tif
0.2234136,0.27005142,0.16000438,0.25588953,0.21782313,0,Shasta_2012_09.tif
0.15103517,0.22439419,0.11353894,0.328038,0.16298944,0,Shasta_2012_09.tif
0.17503019,0.21659905,0.11353894,0.31217185,0.1683894,0,Shasta_2012_09.tif
0.14290571,0.21845503,0.14913528,0.18857832,0.17016535,0,Shasta_2012_09.tif
0.1853887,0.24035566,0.16000438,0.20069703,0.19524957,0,Shasta_2012_09.tif
0.02667886,0.054576073,0.03252724,0.25313133,0.037927393,0,Shasta_2015_11.tif
0.040460262,0.07706885,0.047066826,0.24168542,0.05486531,0,Shasta_2015_11.tif
0.033016294,0.07251509,0.044567835,0.23869425,0.050033074,0,Shasta_2015_11.tif
0.15714952,0.24445374,0.19632474,0.109190665,0.19930935,0,Shasta_2015_11.tif
0.13099504,0.21933912,0.15815833,0.16206898,0.16949749,0,Shasta_2015_11.tif
0.044886407,0.08824624,0.05910742,0.19774619,0.06408002,0,Shasta_2015_11.tif
0.037040062,0.068099335,0.039569855,0.26497102,0.04823642,0,Shasta_2015_11.tif
0.04609354,0.076654874,0.066831574,0.068461046,0.06319333,0,Shasta_2015_11.tif
0.2474831,0.33759868,0.3210471,0.025129683,0.30204296,0,Shasta_2015_11.tif
0.2302815,0.3207636,0.2981018,0.036618203,0.28304896,0,Shasta_2015_11.tif
0.17394875,0.25342324,0.23176497,0.044638813,0.21971232,0,Shasta_2015_11.tif
0.16640419,0.25356126,0.22358645,0.06282067,0.2145173,0,Shasta_2015_11.tif
0.16741014,0.2674985,0.22813007,0.07943114,0.2210129,0,Shasta_2015_11.tif
0.17052855,0.24445374,0.20904687,0.07807441,0.20800972,0,Shasta_2015_11.tif
0.17022677,0.24307382,0.20359454,0.088385925,0.20563172,0,Shasta_2015_11.tif
0.21780781,0.29178518,0.27038574,0.038065646,0.25999293,0,Shasta_2015_11.tif
0.17435113,0.27191424,0.24539584,0.051262006,0.23055375,0,Shasta_2015_11.tif
0.17746955,0.2654286,0.21200022,0.11190834,0.21829946,0,Shasta_2015_11.tif
0.1973872,0.28046978,0.24539584,0.0666974,0.24108428,0,Shasta_2015_11.tif
0.11972848,0.17683743,0.12317246,0.17887671,0.1399128,0,Shasta_2015_11.tif
0.06782188,0.119984515,0.086369134,0.16290101,0.09139184,0,Shasta_2015_11.tif
0.029897874,0.0705832,0.03888831,0.28952375,0.04645646,0,Shasta_2015_11.tif
0.022051526,0.060095772,0.016851755,0.5619863,0.032999683,0,Shasta_2015_11.tif
0.22885893,0.23710571,0.20310554,0.07723586,0.2230234,0,Shasta_2000_11.tif
0.25978592,0.2919664,0.22622031,0.126877,0.2593242,0,Shasta_2000_11.tif
0.32841438,0.3592565,0.2769444,0.12938048,0.32153842,0,Shasta_2000_11.tif
0.61765534,0.7788552,1.0,-0.12431854,0.7988369,0,Shasta_2000_11.tif
0.90586543,1.0,1.0,0.0,0.9686218,0,Shasta_2000_11.tif
0.28276026,0.3553991,0.23906185,0.19570176,0.29240707,0,Shasta_2000_11.tif
0.3864393,0.5300533,0.5183654,0.0111481445,0.47828603,0,Shasta_2000_11.tif
0.26538223,0.32496858,0.2210837,0.19024678,0.27047816,0,Shasta_2000_11.tif
0.26538223,0.3155394,0.26667118,0.083935484,0.28253093,0,Shasta_2000_11.tif
0.38202116,0.41711742,0.36555102,0.065885276,0.38822988,0,Shasta_2000_11.tif
0.4795148,0.5495546,0.43682158,0.11428996,0.48863032,0,Shasta_2000_11.tif
0.35580686,0.5066947,0.37454012,0.14996503,0.4123472,0,Shasta_2000_11.tif
0.34461424,0.4162602,0.3578461,0.07545995,0.37290683,0,Shasta_2000_11.tif
0.349916,0.44497636,0.34243625,0.13022393,0.37910953,0,Shasta_2000_11.tif
0.29896012,0.39097285,0.24805093,0.22365631,0.3126613,0,Shasta_2000_11.tif
0.4245826,0.54441136,0.66154855,-0.09713183,0.5435142,0,Shasta_2000_11.tif
0.32119808,0.37597188,0.44516858,-0.08426891,0.3807795,0,Shasta_2000_11.tif
0.3369561,0.4188318,0.36876142,0.06357382,0.3748498,0,Shasta_2000_11.tif
0.39321378,0.4188318,0.3469308,0.093894504,0.38632545,0,Shasta_2000_11.tif
0.38909018,0.46426332,0.2968488,0.21996011,0.38340077,0,Shasta_2000_11.tif
0.3010219,0.38882986,0.5042397,-0.12922812,0.3980305,0,Shasta_2000_11.tif
0.26066956,0.28768042,0.3019854,-0.024259454,0.28344512,0,Shasta_2000_11.tif
0.30013826,0.34939873,0.31996357,0.043974858,0.32316685,0,Shasta_2000_11.tif
0.32458532,0.40683103,0.31996357,0.119521156,0.35045996,0,Shasta_2000_11.tif
0.33165434,0.35882792,0.31418487,0.066333026,0.33488905,0,Shasta_2000_11.tif
0.29893643,0.39663503,0.84952044,-0.36342582,0.5150306,0,Shasta_2013_01.tif
0.18863614,0.23364595,0.2330356,0.0013078516,0.21843922,0,Shasta_2013_01.tif
0.41352618,0.3833767,0.3448008,0.052975867,0.38056788,0,Shasta_2013_01.tif
0.63106287,0.5161368,0.55494124,-0.03622927,0.5673803,0,Shasta_2013_01.tif
0.20885786,0.16753106,0.19204591,-0.06817674,0.18947828,0,Shasta_2013_01.tif
0.61084116,0.64942724,0.38223806,0.258988,0.54750216,0,Shasta_2013_01.tif
1.0,1.0,0.75169176,0.1417533,0.9172306,0,Shasta_2013_01.tif
1.0,1.0,1.0,0.0,1.0,0,Shasta_2013_01.tif
1.0,1.0,1.0,0.0,1.0,0,Shasta_2013_01.tif
0.759287,0.82249266,1.0,-0.097398065,0.86059314,0,Shasta_2013_01.tif
1.0,0.8555501,0.7530581,0.06371469,0.8695361,0,Shasta_2013_01.tif
0.89425164,0.9050479,0.9593728,-0.029137682,0.9195574,0,Shasta_2013_01.tif
0.9285673,0.91530097,0.99981594,-0.04413043,0.94789475,0,Shasta_2013_01.tif
0.9549168,0.78802097,0.67517763,0.077120945,0.80603844,0,Shasta_2013_01.tif
0.55722296,0.55361366,0.5746163,-0.01861556,0.56181765,0,Shasta_2013_01.tif
0.09855757,0.08762751,0.093670666,-0.033332523,0.09328524,0,Shasta_2013_01.tif
0.06362914,0.08020284,0.07563521,0.029309925,0.07315573,0,Shasta_2013_01.tif
0.039424356,0.057221733,0.057053216,0.0014746519,0.0512331,0,Shasta_2013_01.tif
0.021040976,0.046615068,0.06142545,-0.13708048,0.043027163,0,Shasta_2013_01.tif
0.17546138,0.22975683,0.21554667,0.031911116,0.20692162,0,Shasta_2013_01.tif
0.041875474,0.063585736,0.053774044,0.083602816,0.053078417,0,Shasta_2013_01.tif
0.11510262,0.09399151,0.14668399,-0.21893488,0.11859271,0,Shasta_2013_01.tif
0.13440517,0.14596418,0.124822825,0.078073435,0.13506405,0,Shasta_2013_01.tif
0.18955532,0.17071305,0.17018475,0.0015497437,0.1768177,0,Shasta_2013_01.tif
0.15217577,0.14525706,0.14176524,0.012165628,0.14639936,0,Shasta_2013_01.tif
0.17820422,0.22110201,0.22423084,-0.0070257997,0.20784569,0,Shasta_2013_12.tif
0.4769868,0.47408956,0.4567336,0.018645786,0.46927,0,Shasta_2013_12.tif
0.5086185,0.49334684,0.4783039,0.015481814,0.49342307,0,Shasta_2013_12.tif
0.18040699,0.20700519,0.20307536,0.009583029,0.19682918,0,Shasta_2013_12.tif
0.18102376,0.2239969,0.21240866,0.02655375,0.20580977,0,Shasta_2013_12.tif
0.5059751,0.576795,0.5411481,0.031886082,0.5413061,0,Shasta_2013_12.tif
0.7519796,0.7400412,0.6796957,0.042504657,0.7239055,0,Shasta_2013_12.tif
1.0,0.9572832,0.85101354,0.05876779,0.9360989,0,Shasta_2013_12.tif
0.88167816,0.76143813,0.6886142,0.050221566,0.77724344,0,Shasta_2013_12.tif
0.7252821,0.6466497,0.5726739,0.06066949,0.6482019,0,Shasta_2013_12.tif
1.0,1.0,0.94310206,0.029281996,0.98103404,0,Shasta_2013_12.tif
1.0,1.0,1.0,0.0,1.0,0,Shasta_2013_12.tif
1.0,1.0,0.8997541,0.052767802,0.9665847,0,Shasta_2013_12.tif
1.0,1.0,0.8997541,0.052767802,0.9665847,0,Shasta_2013_12.tif
1.0,1.0,0.9576205,0.021648465,0.9858735,0,Shasta_2013_12.tif
1.0,1.0,0.83794695,0.08817065,0.9459823,0,Shasta_2013_12.tif
1.0,1.0,0.96529454,0.017659156,0.9884315,0,Shasta_2013_12.tif
1.0,0.9905114,0.8937393,0.051358394,0.9614169,0,Shasta_2013_12.tif
1.0,0.97666633,0.8937393,0.044336375,0.9568019,0,Shasta_2013_12.tif
0.9433555,0.8515571,0.76348794,0.054530423,0.8528002,0,Shasta_2013_12.tif
0.49355158,0.526575,0.48224464,0.043942783,0.5007904,0,Shasta_2013_12.tif
0.9474967,0.87824035,0.8381543,0.023354774,0.8879638,0,Shasta_2013_12.tif
0.6863373,0.69926107,0.6724365,0.019555751,0.6860116,0,Shasta_2013_12.tif
0.6134699,0.6346926,0.61187375,0.018305361,0.62001204,0,Shasta_2013_12.tif
0.29283595,0.4109056,0.41545972,-0.0055110212,0.3730671,0,Shasta_2013_12.tif
0.3550505,0.3952444,0.37855843,0.021563556,0.37628445,1,Shasta_2025_07.tif
0.9454991,1.0,0.9559247,0.022534246,0.96714133,1,Shasta_2025_07.tif
0.45174417,0.38209978,0.31589305,0.09485288,0.38324568,1,Shasta_2025_07.tif
0.5322733,0.5330195,0.5229,0.00958358,0.52939755,1,Shasta_2025_07.tif
0.30802622,0.5062434,0.6475266,-0.122453436,0.48726538,1,Shasta_2025_07.tif
0.7062631,0.70097846,0.58415717,0.090901844,0.6637996,1,Shasta_2025_07.tif
0.44851127,0.6391501,0.79046,-0.105839916,0.6260404,1,Shasta_2025_07.tif
0.5590183,0.73846495,0.8418597,-0.06542623,0.7131143,1,Shasta_2025_07.tif
0.77533,0.8557928,0.78271484,0.0446003,0.8046126,1,Shasta_2025_07.tif
0.15137659,0.36944202,0.5186754,-0.16803318,0.346498,1,Shasta_2025_07.tif
0.14461686,0.3577579,0.46516338,-0.13051717,0.32251272,1,Shasta_2025_07.tif
0.06585119,0.25649568,0.21872653,0.079476655,0.18035781,1,Shasta_2025_07.tif
0.06467558,0.25260097,0.21520601,0.07993654,0.17749418,1,Shasta_2025_07.tif
0.07202312,0.24724576,0.22295117,0.051668845,0.18074001,1,Shasta_2025_07.tif
